ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4,didakta_combined
1,μέλε,μέλω,v3siia---,"Impf, Ind, Act",0.0,PRED,5.6,Impf,Ind,Act,,Impf|Ind|Act
2,γάρ,γάρ,g--------,particle indeclform,1.0,AuxY,5.6,,,,,
3,οἱ,ἕ,p-s---fd-,DatPos,1.0,OBJ,5.6,DatPos,,,,DatPos
4,ἐὼν,εἰμί,v-sppamn-,"NomSubj, PartCirc.4",1.0,ADV,5.6,NomSubj,PartCirc.4,,,NomSubj|PartCirc.4
5,ἐν,ἐν,r--------,DatLoc prep,4.0,AuxP,5.6,,,,,
6,δώμασι,δῶμα,n-p---nd-,DatLoc w/ prep,5.0,ADV,5.6,,,,,
7,νύμφης,νύμφη,n-s---fg-,GenPos,6.0,ATR,5.6,GenPos,,,,GenPos
8,·,·,u--------,,0.0,AuxK,5.6,,,,,
1,&quot;,&quot;,u--------,,33.0,AuxG,5.7,,,,,
2,Ζεῦ,Ζεύς,n-s---mv-,Voc,4.0,ExD_CO,5.7,Voc,,,,Voc
3,πάτερ,πατήρ,n-s---mv-,Voc,2.0,ATR,5.7,Voc,,,,Voc
4,ἠδ',ἠδέ,c--------,conj indeclform,33.0,COORD,5.7,,,,,
5,ἄλλοι,ἄλλος,a-p---mv-,NomSubj,7.0,ATR,5.7,NomSubj,,,,NomSubj
6,μάκαρες,μάκαρ,n-p---mv-,NomSubj,7.0,ATR,5.7,NomSubj,,,,NomSubj
7,θεοὶ,θεός,n-p---mv-,NomSubj,4.0,ExD_CO,5.7,NomSubj,,,,NomSubj
8,αἰὲν,ἀεί,d--------,adv indeclform,9.0,ADV,5.7,,,,,
9,ἐόντες,εἰμί,v-pppamv-,"NomSubj, PartAttr",7.0,ATR,5.7,NomSubj,PartAttr,,,NomSubj|PartAttr
10,",",",",u--------,,4.0,AuxX,5.7,,,,,
11,μή,μή,d--------,ImprComm (mh),18.0,AuxZ,5.8,ImprComm (mh),,,,ImprComm (mh)
12,τις,τις,p-s---mn-,"NomSubj, Pron6",20.0,ATR,5.8,NomSubj,,,,NomSubj
13,ἔτι,ἔτι,d--------,adv indeclform,18.0,ADV,5.8,,,,,
14,πρόφρων,πρόφρων,a-s---mn-,NomPred-- adverbial force,20.0,ATR,5.8,,,,,
15,ἀγανὸς,ἀγανός,a-s---mn-,NomPred,16.0,PNOM_CO,5.8,NomPred,,,,NomPred
16,καὶ,καί,c--------,conj indeclform,18.0,COORD,5.8,,,,,
17,ἤπιος,ἤπιος,a-s---mn-,NomPred,16.0,PNOM_CO,5.8,NomPred,,,,NomPred
18,ἔστω,εἰμί,v3spma---,ImprCommd,33.0,PRED_CO,5.8,,,,,
19,σκηπτοῦχος,σκηπτοῦχος,a-s---mn-,NomSubj,20.0,ATR,5.9,NomSubj,,,,NomSubj
20,βασιλεύς,βασιλεύς,n-s---mn-,NomSubj,33.0,SBJ,5.9,NomSubj,,,,NomSubj
21,",",",",u--------,,33.0,AuxX,5.9,,,,,
22,μη,μή,g--------,ImprComm (mh),37.0,AuxZ,5.9,ImprComm (mh),,,,ImprComm (mh)
23,δὲ,δέ,g--------,particle indeclform,33.0,AuxY,5.9,,,,,
24,φρεσὶν,φρήν,n-p----d-,DatLoca,37.0,ADV,5.9,,,,,
25,αἴσιμα,αἴσιμος,a-p---na-,AccObj,26.0,OBJ,5.9,AccObj,,,,AccObj
26,εἰδώς,οἶδα,v-srpamn-,"NomSubj, PartAttr",37.0,PNOM,5.9,NomSubj,PartAttr,,,NomSubj|PartAttr
27,",",",",u--------,,33.0,AuxX,5.9,,,,,
28,ἀλλ',ἀλλά,c--------,adv indeclform,33.0,AuxY,5.1,,,,,
29,αἰεὶ,ἀεί,d--------,adv indeclform,32.0,ADV,5.1,,,,,
30,χαλεπός,χαλεπός,a-s---mn-,NomPred,32.0,PNOM,5.1,NomPred,,,,NomPred
31,τ',τε,g--------,particle indeclform,33.0,AuxY,5.1,,,,,
32,εἴη,εἰμί,v3spoa---,OptComm,33.0,PRED_CO,5.1,OptComm,,,,OptComm
33,καὶ,καί,c--------,conj indeclform,0.0,COORD,5.1,,,,,
34,αἴσυλα,αἴσυλος,a-p---na-,AccObj,35.0,OBJ,5.1,AccObj,,,,AccObj
35,ῥέζοι,ῥέζω,v3spoa---,OptComm,33.0,PRED_CO,5.1,OptComm,,,,OptComm
36,·,·,u--------,,0.0,AuxK,5.1,,,,,
1,ὡς,ὡς,c--------,conj indeclform,4.0,ADV,5.11,,,,,
2,οὔ,οὐ,d--------,adv indeclform,3.0,AuxZ,5.11,,,,,
3,τις,τις,p-s---mn-,"NomSubj, Pron6",4.0,SBJ,5.11,NomSubj,,,,NomSubj
4,μέμνηται,μιμνήσκω,v3srie---,"Perf, MidMent",12.0,PRED_CO,5.11,Perf,MidMent,,,Perf|MidMent
5,Ὀδυσσῆος,̓ὀδυσσεύς,n-s---mg-,GenVerb.9,4.0,OBJ,5.11,GenVerb.9,,,,GenVerb.9
6,θείοιο,θεῖος,a-s---mg-,GenVerb.9,5.0,ATR,5.11,GenVerb.9,,,,GenVerb.9
7,λαῶν,λαός,n-p---mg-,GenPart,3.0,ATR,5.12,GenPart,,,,GenPart
8,οἷσιν,ὅς,p-p---md-,"DatAdvn, Pron8",9.0,OBJ,5.12,DatAdvn,,,,DatAdvn
9,ἄνασσε,ἀνάσσω,v3siia---,ImpfDesc,7.0,ATR,5.12,ImpfDesc,,,,ImpfDesc
10,",",",",u--------,,12.0,AuxX,5.12,,,,,
11,πατὴρ,πατήρ,n-s---mn-,NomPred,17.0,ADV,5.12,NomPred,,,,NomPred
12,δ',δέ,g--------,particle indeclform,0.0,COORD,5.12,,,,,
13,ὣς,ὡς,d--------,adv indeclform,17.0,ADV,5.12,,,,,
14,ἤπιος,ἤπιος,a-s---mn-,NomPred,15.0,PNOM,5.12,NomPred,,,,NomPred
15,ἦεν,εἰμί,v3siia---,ImpfDesc,12.0,PRED_CO,5.12,ImpfDesc,,,,ImpfDesc
16,.,.,u--------,,0.0,AuxK,5.12,,,,,
1,ἀλλ',ἀλλά,d--------,adv indeclform,6.0,AuxY,5.13,,,,,
2,ὁ,ὁ,p-s---mn-,"NomSubj, Pron4",6.0,SBJ,5.13,NomSubj,,,,NomSubj
3,μὲν,μέν,g--------,particle indeclform,6.0,AuxY,5.13,,,,,
4,ἐν,ἐν,r--------,Prep5,6.0,AuxP,5.13,,,,,
5,νήσῳ,νῆσος,n-s---fd-,DatLoc (Prep5),4.0,ADV,5.13,DatLoc (Prep5),,,,DatLoc (Prep5)
6,κεῖται,κεῖμαι,v3spie---,"Pres, MidDir",0.0,PRED,5.13,Pres,MidDir,,,Pres|MidDir
7,κρατέρ',κρατερός,a-p---na-,AccObj,8.0,ATR,5.13,AccObj,,,,AccObj
8,ἄλγεα,ἄλγος,n-p---na-,AccObj,9.0,OBJ,5.13,AccObj,,,,AccObj
9,πάσχων,πάσχω,v-sppamn-,"NomSubj, PartCirc.1",6.0,ADV,5.13,NomSubj,PartCirc.1,,,NomSubj|PartCirc.1
10,νύμφης,νύμφη,n-s---fg-,GenPos,13.0,ATR,5.14,GenPos,,,,GenPos
11,ἐν,ἐν,r--------,Prep3,6.0,AuxP,5.14,,,,,
12,μεγάροισι,μέγαρον,n-p---nd-,DatLoc (Prep3),11.0,ADV,5.14,DatLoc (Prep3),,,,DatLoc (Prep3)
13,Καλυψοῦς,Καλυψώ,n-s---fg-,GenPos,12.0,ATR,5.14,GenPos,,,,GenPos
14,",",",",u--------,,18.0,AuxX,5.14,,,,,
15,ἥ,ὅς,p-s---fn-,"NomSubj, Pron8",18.0,SBJ,5.14,NomSubj,,,,NomSubj
16,μιν,μιν,p-s---ma-,"AccObj, Pron4",18.0,OBJ,5.14,AccObj,,,,AccObj
17,ἀνάγκῃ,ἀνάγκη,n-s---fd-,DatInstr,18.0,ADV,5.14,DatInstr,,,,DatInstr
18,ἴσχει,ἴσχω,v3spia---,"Pres, Ind, Act",13.0,ATR,5.15,Pres,Ind,Act,,Pres|Ind|Act
19,·,·,u--------,,0.0,AuxK,5.15,,,,,
1,ὁ,ὁ,p-s---mn-,"NomSubj, Pron4",4.0,SBJ,5.15,NomSubj,,,,NomSubj
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.15,,,,,
3,οὐ,οὐ,d--------,adv indeclform,4.0,AuxZ,5.15,,,,,
4,δύναται,δύναμαι,v3spie---,"PresCona, MidIndir",2.0,PRED_CO,5.15,PresCona,MidIndir,,,PresCona|MidIndir
5,ἣν,ἑός,a-s---fa-,"AccDirec, Pron3",7.0,ATR,5.15,AccDirec,,,,AccDirec
6,πατρίδα,πατρίς,a-s---fa-,AccDirec,7.0,ATR,5.15,AccDirec,,,,AccDirec
7,γαῖαν,γαῖα,n-s---fa-,AccDirec,8.0,OBJ,5.15,AccDirec,,,,AccDirec
8,ἱκέσθαι,ἱκνέομαι,v--anm---,InfDyn,4.0,OBJ,5.15,InfDyn,,,,InfDyn
9,·,·,u--------,,0.0,AuxK,5.15,,,,,
1,οὐ,οὐ,d--------,adv indeclform,19.0,AuxZ,5.16,,,,,
2,γάρ,γάρ,g--------,particle indeclform,19.0,AuxY,5.16,,,,,
3,οἱ,ἕ,p-s---md-,DatVerb (Prep5),19.0,OBJ,5.16,DatVerb (Prep5),,,,DatVerb (Prep5)
4,πάρα,παρά,r--------,Prep5,19.0,AuxZ,5.16,,,,,
5,νῆες,ναῦς,n-p---fn-,NomSubj,19.0,SBJ_CO,5.16,NomSubj,,,,NomSubj
6,ἐπήρετμοι,ἐπήρετμος,a-p---fn-,NomSubj,5.0,ATR,5.16,NomSubj,,,,NomSubj
7,καὶ,καί,c--------,conj indeclform,0.0,COORD,5.16,,,,,
8,ἑταῖροι,ἑταῖρος,n-p---mn-,NomSubj,19.0,SBJ_CO,5.16,NomSubj,,,,NomSubj
9,",",",",u--------,,13.0,AuxX,5.16,,,,,
10,οἵ,ὅς,p-p---mn-,"NomSubj, Pron8",13.0,SBJ,5.17,NomSubj,,,,NomSubj
11,κέν,ἄν,g--------,OptPoten (an),13.0,AuxZ,5.17,OptPoten (an),,,,OptPoten (an)
12,μιν,μιν,p-s---ma-,"AccObj, Pron4",13.0,OBJ,5.17,AccObj,,,,AccObj
13,πέμποιεν,πέμπω,v3ppoa---,OptPoten,8.0,ATR,5.17,OptPoten,,,,OptPoten
14,ἐπ',ἐπί,r--------,Prep5,13.0,AuxP,5.17,,,,,
15,εὐρέα,εὐρύς,a-p---na-,AccDirec.1 (Prep5),16.0,ATR,5.17,,,,,
16,νῶτα,νῶτον,n-p---na-,AccDirec.1 (Prep5),14.0,OBJ,5.17,,,,,
17,θαλάσσης,θάλασσα,n-s---fg-,GenPart,16.0,ATR,5.17,GenPart,,,,GenPart
18,.,.,u--------,,0.0,AuxK,5.17,,,,,
1,νῦν,νῦν,d--------,adv indeclform,6.0,ADV,5.18,,,,,
2,αὖ,αὖ,d--------,adv indeclform,6.0,AuxY,5.18,,,,,
3,παῖδ',παῖς,n-s---ma-,AccObj,5.0,OBJ,5.18,AccObj,,,,AccObj
4,ἀγαπητὸν,ἀγαπητός,a-s---ma-,AccObj,3.0,ATR,5.18,AccObj,,,,AccObj
5,ἀποκτεῖναι,ἀποκτείνω,v--ana---,InfDyn,6.0,OBJ,5.18,InfDyn,,,,InfDyn
6,μεμάασιν,μέμαα,v3pria---,Perf,0.0,PRED,5.18,Perf,,,,Perf
7,οἴκαδε,οἴκαδε,d--------,AccDirec.1,8.0,OBJ,5.19,AccDirec.1,,,,AccDirec.1
8,νισόμενον,νίσσομαι,v-sapmma-,PartCirc.1,3.0,ATV,5.19,PartCirc.1,,,,PartCirc.1
9,·,·,u--------,,0.0,AuxK,5.19,,,,,
1,ὁ,ὁ,p-s---mn-,"NomSubj, Pron4",3.0,SBJ,5.19,NomSubj,,,,NomSubj
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.19,,,,,
3,ἔβη,βαίνω,v3saia---,Aor,2.0,PRED_CO,5.19,Aor,,,,Aor
4,μετὰ,μετά,r--------,Prep5,3.0,AuxP,5.19,,,,,
5,πατρὸς,πατήρ,n-s---mg-,GenObj,6.0,ATR,5.19,GenObj,,,,GenObj
6,ἀκουὴν,ἀκουή,n-s---fa-,AccDirec.1 (Prep5),4.0,ADV,5.19,,,,,
7,ἐς,εἰς,r--------,Prep3,10.0,AuxP,5.2,,,,,
8,Πύλον,Πύλος,n-s---fa-,AccDirec.1 (Prep3),7.0,OBJ_CO,5.2,,,,,
9,ἠγαθέην,ἠγάθεος,a-s---fa-,AccDirec.1 (Prep3),8.0,ATR,5.2,,,,,
10,ἠδ',ἠδέ,c--------,conj indeclform,3.0,COORD,5.2,,,,,
11,ἐς,εἰς,r--------,Prep3,10.0,AuxP,5.2,,,,,
12,Λακεδαίμονα,Λακεδαίμων,n-s---fa-,AccDirec.1 (Prep3),11.0,OBJ_CO,5.2,,,,,
13,δῖαν,δῖος,a-s---fa-,AccDirec.1 (Prep3),12.0,ATR,5.2,,,,,
14,.,.,u--------,,0.0,AuxK,5.2,,,,,
15,&quot;,&quot;,u--------,,2.0,AuxG,5.2,,,,,
1,τὴν,ὁ,p-s---fa-,"AccObj.3b, Pron4",4.0,OBJ,5.21,,,,,
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.21,,,,,
3,ἀπαμειβόμενος,ἀπαμείβομαι,v-sppemn-,PartCirc.5,4.0,ADV,5.21,PartCirc.5,,,,PartCirc.5
4,προσέφη,πρόσφημι,v3siia---,Aor,2.0,PRED_CO,5.21,Aor,,,,Aor
5,νεφεληγερέτα,νεφεληγερέτα,n-s---mn-,NomSubj,6.0,ATR,5.21,NomSubj,,,,NomSubj
6,Ζεύς,Ζεύς,n-s---mn-,NomSubj,4.0,SBJ,5.21,NomSubj,,,,NomSubj
7,·,·,u--------,,0.0,AuxK,5.21,,,,,
1,&quot;,&quot;,u--------,,8.0,AuxG,5.22,,,,,
2,τέκνον,τέκνον,n-s---nv-,Voc,8.0,ExD,5.22,Voc,,,,Voc
3,ἐμόν,ἐμός,a-s---nv-,"Voc, Pron1",2.0,ATR,5.22,Voc,,,,Voc
4,",",",",u--------,,2.0,AuxX,5.22,,,,,
5,ποῖόν,ποῖος,a-s---nn-,NomSubj,7.0,ATR,5.22,NomSubj,,,,NomSubj
6,σε,σύ,p2s----a-,"AccObj, Pron1",8.0,OBJ,5.22,AccObj,,,,AccObj
7,ἔπος,ἔπος,n-s---nn-,NomSubj,8.0,SBJ,5.22,NomSubj,,,,NomSubj
8,φύγεν,φεύγω,v3saia---,AorIngr,0.0,PRED,5.22,AorIngr,,,,AorIngr
9,ἕρκος,ἕρκος,n-s---na-,AccObj,8.0,OBJ,5.22,AccObj,,,,AccObj
10,ὀδόντων,ὀδούς,n-p---mg-,GenMat,9.0,ATR,5.22,GenMat,,,,GenMat
11,.,.,u--------,,0.0,AuxK,5.22,,,,,
1,οὐ,οὐ,d--------,adv indeclform,6.0,AuxZ,5.23,,,,,
2,γὰρ,γάρ,g--------,particle indeclform,6.0,AuxY,5.23,,,,,
3,δὴ,δή,g--------,particle indeclform,6.0,AuxY,5.23,,,,,
4,τοῦτον,οὗτος,a-s---ma-,"AccObj, Pron4",7.0,ATR,5.23,AccObj,,,,AccObj
5,μὲν,μέν,g--------,particle indeclform,6.0,AuxY,5.23,,,,,
6,ἐβούλευσας,βουλεύω,v2saia---,AorIngr,0.0,PRED,5.23,AorIngr,,,,AorIngr
7,νόον,νόος,n-s---ma-,AccObj,6.0,OBJ,5.23,AccObj,,,,AccObj
8,αὐτή,αὐτός,a-s---fn-,Pron2.1a,6.0,AtvV,5.23,,,,,
9,",",",",u--------,,10.0,AuxX,5.23,,,,,
10,ὡς,ὡς,c--------,conj indeclform,6.0,AuxC,5.24,,,,,
11,ἦ,ἦ,d--------,adv indeclform,15.0,AuxY,5.24,,,,,
12,τοι,τοι,g--------,particle indeclform,15.0,AuxY,5.24,,,,,
13,κείνους,ἐκεῖνος,a-p---ma-,"AccObj.3b, Pron4",15.0,OBJ,5.24,,,,,
14,Ὀδυσεὺς,Ὀδυσσεύς,n-s---mn-,NomSubj,15.0,SBJ,5.24,NomSubj,,,,NomSubj
15,ἀποτίσεται,ἀποτίνω,v3sasm---,Fut,10.0,OBJ,5.24,Fut,,,,Fut
16,ἐλθών,ἔρχομαι,v-sapamn-,"NomSubj, PartCirc.1",15.0,ADV,5.24,NomSubj,PartCirc.1,,,NomSubj|PartCirc.1
17,;,;,u--------,,0.0,AuxK,5.24,,,,,
1,Τηλέμαχον,Τηλέμαχος,n-s---ma-,AccObj,4.0,OBJ,5.25,AccObj,,,,AccObj
2,δὲ,δέ,g--------,particle indeclform,0.0,COORD,5.25,,,,,
3,σὺ,σύ,p2s----n-,"NomSubj, Pron1",4.0,SBJ,5.25,NomSubj,,,,NomSubj
4,πέμψον,πέμπω,v2sama---,"AorDram, ImprComm",2.0,PRED_CO,5.25,AorDram,ImprComm,,,AorDram|ImprComm
5,ἐπισταμένως,ἐπισταμένως,d--------,adv indeclform,4.0,ADV,5.25,,,,,
6,",",",",u--------,,7.0,AuxX,5.25,,,,,
7,δύνασαι,δύναμαι,v2spie---,"Pres, Ind, MidIndir",4.0,ExD,5.25,Pres,Ind,MidIndir,,Pres|Ind|MidIndir
8,γάρ,γάρ,g--------,particle indeclform,7.0,AuxY,5.25,,,,,
9,",",",",u--------,,10.0,AuxX,5.25,,,,,
10,ὥς,ὡς,c--------,conj indeclform,4.0,AuxC,5.26,,,,,
11,κε,ἄν,g--------,Subcl4,17.0,AuxZ,5.26,,,,,
12,μάλ',μάλα,d--------,adv indeclform,13.0,AuxZ,5.26,,,,,
13,ἀσκηθὴς,ἀσκηθής,a-s---mn-,NomSubj,17.0,AtvV,5.26,NomSubj,,,,NomSubj
14,ἣν,ἑός,a-s---fa-,"AccDirec, Pron3",16.0,ATR,5.26,AccDirec,,,,AccDirec
15,πατρίδα,πατρίς,a-s---fa-,AccDirec,16.0,ATR,5.26,AccDirec,,,,AccDirec
16,γαῖαν,γαῖα,n-s---fa-,AccDirec,17.0,OBJ,5.26,AccDirec,,,,AccDirec
17,ἵκηται,ἱκνέομαι,v3sase---,Subj (Subcl4),20.0,ADV_CO,5.26,,,,,
18,",",",",u--------,,20.0,AuxX,5.26,,,,,
19,μνηστῆρες,μνηστήρ,n-p---mn-,NomSubj,24.0,SBJ,5.27,NomSubj,,,,NomSubj
20,δ',δέ,g--------,particle indeclform,10.0,COORD,5.27,,,,,
21,ἐν,ἐν,r--------,Prep5,20.0,AuxP,5.27,,,,,
22,νηῒ,ναῦς,n-s---fd-,DatLoc (Prep5),24.0,ADV,5.27,DatLoc (Prep5),,,,DatLoc (Prep5)
23,παλιμπετὲς,παλιμπετής,a-s---na-,AccAdv,24.0,ADV,5.27,AccAdv,,,,AccAdv
24,ἀπονέωνται,ἀπονέω,v3ppse---,Subj (Subcl4),20.0,ADV_CO,5.27,,,,,
25,.,.,u--------,,0.0,AuxK,5.27,,,,,
26,&quot;,&quot;,u--------,,2.0,AuxG,5.27,,,,,
1,ἦ,ἠμί,v3siia---,adv indeclform,3.0,PRED_CO,5.28,,,,,
2,ῥα,ἄρα,g--------,particle indeclform,1.0,AuxY,5.28,,,,,
3,καὶ,καί,c--------,conj indeclform,0.0,COORD,5.28,,,,,
4,Ἑρμείαν,Ἑρμῆς,n-s---ma-,AccObj,5.0,OBJ_AP,5.28,AccObj,,,,AccObj
5,",",",",u--------,,10.0,APOS,5.28,,,,,
6,υἱὸν,υἱός,n-s---ma-,AccObj,5.0,OBJ_AP,5.28,AccObj,,,,AccObj
7,φίλον,φίλος,a-s---ma-,AccObj,6.0,ATR,5.28,AccObj,,,,AccObj
8,",",",",u--------,,5.0,AuxX,5.28,,,,,
9,ἀντίον,ἀντίος,a-s---na-,NomSubj,10.0,ADV,5.28,NomSubj,,,,NomSubj
10,ηὔδα,αὐδάω,v3siia---,Aor,3.0,PRED_CO,5.28,Aor,,,,Aor
11,·,·,u--------,,0.0,AuxK,5.28,,,,,
1,&quot;,&quot;,u--------,,16.0,AuxG,5.29,,,,,
2,Ἑρμεία,Ἑρμῆς,n-s---mv-,Voc,16.0,ExD,5.29,Voc,,,,Voc
3,",",",",u--------,,2.0,AuxX,5.29,,,,,
4,σὺ,σύ,p2s----n-,"NomSubj, Pron1",12.0,SBJ,5.29,NomSubj,,,,NomSubj
5,γὰρ,γάρ,g--------,particle indeclform,12.0,AuxY,5.29,,,,,
6,αὖτε,αὖτε,d--------,adv indeclform,12.0,AuxY,5.29,,,,,
7,τά,ὁ,l--------,"AccResp, ArtSubs",9.0,ATR,5.29,AccResp,ArtSubs,,,AccResp|ArtSubs
8,τ',τε,g--------,particle indeclform,12.0,AuxY,5.29,,,,,
9,ἄλλα,ἄλλος,a-p---na-,AccResp,12.0,ADV,5.29,AccResp,,,,AccResp
10,περ,πέρ,g--------,particle indeclform,9.0,AuxZ,5.29,,,,,
11,ἄγγελός,ἄγγελος,n-s---mn-,NomPred,12.0,PNOM,5.29,NomPred,,,,NomPred
12,ἐσσι,εἰμί,v2spia---,"PresIter, Ind, Act",16.0,ExD,5.29,PresIter,Ind,Act,,PresIter|Ind|Act
13,",",",",u--------,,12.0,AuxX,5.29,,,,,
14,νύμφῃ,νύμφη,n-s---fd-,DatVerb,16.0,OBJ,5.3,DatVerb,,,,DatVerb
15,ἐυπλοκάμῳ,εὐπλόκαμος,a-s---fd-,DatVerb,14.0,ATR,5.3,DatVerb,,,,DatVerb
16,εἰπεῖν,εἶπον,v--ana---,InfComm,0.0,PRED,5.3,InfComm,,,,InfComm
17,νημερτέα,νημερτής,a-s---fa-,AccObj,18.0,ATR,5.3,AccObj,,,,AccObj
18,βουλήν,βουλή,n-s---fa-,AccObj,19.0,OBJ_AP,5.3,AccObj,,,,AccObj
19,",",",",u--------,,16.0,APOS,5.3,,,,,
20,νόστον,νόστος,n-s---ma-,AccResp,19.0,OBJ_AP,5.31,AccResp,,,,AccResp
21,Ὀδυσσῆος,Ὀδυσσεύς,n-s---mg-,GenSubj,20.0,ATR,5.31,GenSubj,,,,GenSubj
22,ταλασίφρονος,ταλασίφρων,a-s---mg-,GenSubj,21.0,ATR,5.31,GenSubj,,,,GenSubj
23,",",",",u--------,,24.0,AuxX,5.31,,,,,
24,ὥς,ὡς,c--------,conj indeclform,16.0,AuxC,5.31,,,,,
25,κε,ἄν,g--------,Subcl4,26.0,AuxZ,5.31,,,,,
26,νέηται,νέομαι,v3spse---,Subj (Subcl4),24.0,ADV,5.31,,,,,
27,οὔ,οὐ,d--------,adv indeclform,29.0,AuxZ,5.32,,,,,
28,τε,τε,g--------,particle indeclform,32.0,AuxY,5.32,,,,,
29,θεῶν,θεός,n-p---mg-,GenSubj,32.0,ATR_CO,5.32,GenSubj,,,,GenSubj
