sentence_subdoc,sentence_id,document_id,ref,greek,lemma,pos,rel,syn,cite,didakta,didakta_tense,didakta_voice,didakta_mood
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,πολὺν,πολύς,a-s---ma-,12,ATR,urn:cts:greekLit:tlg0012.tlg001:10.6,AccObj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,ὄμβρον,ὄμβρος,n-s---ma-,9,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.6,AccObj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,ἀθέσφατον,ἀθέσφατος,a-s---ma-,12,ATR,urn:cts:greekLit:tlg0012.tlg001:10.6,AccObj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,ἠὲ,ἠέ,c--------,26,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.6,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,χάλαζαν,χάλαζα,n-s---fa-,50,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.6,AccObj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,ἢ,ἤ,c--------,26,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.7,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,νιφετόν,νιφετός,n-s---ma-,51,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.7,AccObj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,",",",",u--------,19,AuxX,,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,19,ὅτε,ὅτε,c--------,51,AuxC,urn:cts:greekLit:tlg0012.tlg001:10.7,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,20,πέρ,πέρ,g--------,23,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.7,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,21,τε,τε,g--------,23,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.7,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,22,χιὼν,χιών,n-s---fn-,23,SBJ,urn:cts:greekLit:tlg0012.tlg001:10.7,NomSubj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,23,ἐπάλυνεν,παλύνω,v3siia---,26,ADV_CO,urn:cts:greekLit:tlg0012.tlg001:10.7,Impf_unknown_unknown,Impf,unknown,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,24,ἀρούρας,ἄρουρα,n-p---fa-,23,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.7,AccObj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,25,",",",",u--------,19,AuxX,,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,26,ἠέ,ἤ,c--------,9,COORD,urn:cts:greekLit:tlg0012.tlg001:10.8,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,27,ποθι,ποθι,d--------,52,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.8,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,28,πτολέμοιο,πόλεμος,n-s---mg-,30,ATR,urn:cts:greekLit:tlg0012.tlg001:10.8,GenPos,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,29,μέγα,μέγας,a-s---na-,30,ATR,urn:cts:greekLit:tlg0012.tlg001:10.8,AccObj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,30,στόμα,στόμα,n-s---na-,52,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.8,AccDirec1,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,31,πευκεδανοῖο,πευκεδανός,a-s---mg-,28,ATR,urn:cts:greekLit:tlg0012.tlg001:10.8,GenPos,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,32,",",",",u--------,49,AuxX,,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,33,ὣς,ὡς,d--------,37,ADV,urn:cts:greekLit:tlg0012.tlg001:10.9,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,34,πυκίν̓,πυκινός,a-p---na-,37,ADV,urn:cts:greekLit:tlg0012.tlg001:10.9,AccAdv,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,35,ἐν,ἐν,r--------,37,AuxP,urn:cts:greekLit:tlg0012.tlg001:10.9,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,36,στήθεσσιν,στῆθος,n-p---nd-,35,ADV,urn:cts:greekLit:tlg0012.tlg001:10.9,DatLoc,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,37,ἀνεστενάχιζ̓,ἀναστεναχίζω,v3siia---,44,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:10.9,Impf_unknown_unknown,Impf,unknown,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,38,Ἀγαμέμνων,Ἀγαμέμνων,n-s---mn-,37,SBJ,urn:cts:greekLit:tlg0012.tlg001:10.9,NomSubj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,39,νειόθεν,νειόθεν,d--------,37,ADV,urn:cts:greekLit:tlg0012.tlg001:10.10,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,40,ἐκ,ἐκ,r--------,37,AuxP,urn:cts:greekLit:tlg0012.tlg001:10.10,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,41,κραδίης,καρδία,n-s---fg-,39,ATR,urn:cts:greekLit:tlg0012.tlg001:10.10,GenSep,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,42,",",",",u--------,44,AuxX,,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,43,τρομέοντο,τρομέω,v3piie---,44,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:10.10,Impf_Ind_unknown,Impf,Ind,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,44,δέ,δέ,g--------,0,COORD,urn:cts:greekLit:tlg0012.tlg001:10.10,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,45,οἱ,ἕ,p-s---md-,46,ATR,urn:cts:greekLit:tlg0012.tlg001:10.10,DatPos,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,46,φρένες,φρήν,n-p---mn-,43,SBJ,urn:cts:greekLit:tlg0012.tlg001:10.10,NomSubj,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,47,ἐντός,ἐντός,d--------,43,ADV,urn:cts:greekLit:tlg0012.tlg001:10.10,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,48,.,.,u--------,0,AuxK,,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,49,[0],,,37,ADV,,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,50,[1],,,26,ADV_CO,,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,51,[2],,,26,ADV_CO,,,,,
10.5-10.10,2277122,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,52,[3],,,26,ADV_CO,,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ἤτοι,ἤτοι,g--------,9,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.11,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,ὅτ̓,ὅτι,c--------,9,AuxC,urn:cts:greekLit:tlg0012.tlg001:10.11,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἐς,εἰς,r--------,7,AuxP,urn:cts:greekLit:tlg0012.tlg001:10.11,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,πεδίον,πεδίον,n-s---na-,3,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.11,AccObj,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,τὸ,ὁ,l-s---na-,4,ATR,urn:cts:greekLit:tlg0012.tlg001:10.11,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,Τρωϊκὸν,Τρωικός,a-s---na-,4,ATR,urn:cts:greekLit:tlg0012.tlg001:10.11,AccDirec,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,ἀθρήσειε,ἀθρέω,v3saoa---,2,ADV,urn:cts:greekLit:tlg0012.tlg001:10.11,OptPoten_unknown_unknown,OptPoten,unknown,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,",",",",u--------,2,AuxX,,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,θαύμαζεν,θαυμάζω,v3siia---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:10.12,ImpfDesc_unknown_unknown,ImpfDesc,unknown,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,πυρὰ,πυρά,n-p---na-,21,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:10.12,AccObj,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,πολλὰ,πολύς,a-p---na-,10,ATR,urn:cts:greekLit:tlg0012.tlg001:10.12,AccObj,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,τὰ,ὁ,p-p---nn-,13,SBJ,urn:cts:greekLit:tlg0012.tlg001:10.12,NomSubj,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,καίετο,καίω,v3siie---,10,ATR,urn:cts:greekLit:tlg0012.tlg001:10.12,ImpfDesc_unknown_unknown,ImpfDesc,unknown,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,Ἰλιόθι,Ἰλιόθι,d--------,15,ADV,urn:cts:greekLit:tlg0012.tlg001:10.12,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,πρὸ,πρό,r--------,13,AuxP,urn:cts:greekLit:tlg0012.tlg001:10.12,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,αὐλῶν,αὐλός,n-p---mg-,19,ATR,urn:cts:greekLit:tlg0012.tlg001:10.13,GenPos,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,συρίγγων,σῦριγξ,n-p---fg-,19,ATR,urn:cts:greekLit:tlg0012.tlg001:10.13,GenPart,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,τ̓,τε,g--------,21,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.13,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,19,ἐνοπὴν,ἐνοπή,n-s---fa-,21,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:10.13,AccObj,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,20,ὅμαδόν,ὅμαδος,n-s---ma-,21,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:10.13,AccObj,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,21,τ̓,τε,g--------,9,COORD,urn:cts:greekLit:tlg0012.tlg001:10.13,,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,22,ἀνθρώπων,ἄνθρωπος,n-p---mg-,20,ATR,urn:cts:greekLit:tlg0012.tlg001:10.13,GenSubj,,,
10.11-10.13,2277123,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,23,.,.,u--------,0,AuxK,,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,αὐτὰρ,ἀτάρ,g--------,22,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.14,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,ὅτ̓,ὅτι,c--------,22,AuxC,urn:cts:greekLit:tlg0012.tlg001:10.14,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἐς,εἰς,r--------,6,AuxP,urn:cts:greekLit:tlg0012.tlg001:10.14,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,νῆάς,ναῦς,n-p---fa-,7,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:10.14,AccObj,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,τε,τε,g--------,7,AuxY,urn:cts:greekLit:tlg0012.tlg001:10.14,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,ἴδοι,εἶδον,v3saoa---,2,ADV,urn:cts:greekLit:tlg0012.tlg001:10.14,OptPoten_unknown_unknown,OptPoten,unknown,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,καὶ,καί,c--------,3,COORD,urn:cts:greekLit:tlg0012.tlg001:10.14,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,λαὸν,λαός,n-s---ma-,7,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:10.14,AccObj,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,Ἀχαιῶν,Ἀχαιός,a-p---mg-,8,ATR,urn:cts:greekLit:tlg0012.tlg001:10.14,GenPos,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,",",",",u--------,2,AuxX,,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,πολλὰς,πολύς,a-p---fa-,16,ATR,urn:cts:greekLit:tlg0012.tlg001:10.15,AccObj,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,ἐκ,ἐκ,r--------,15,AuxP,urn:cts:greekLit:tlg0012.tlg001:10.15,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,κεφαλῆς,κεφαλή,n-s---fg-,12,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.15,GenSep,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,προθελύμνους,προθέλυμνος,a-p---fa-,16,ATV,urn:cts:greekLit:tlg0012.tlg001:10.15,AccObj,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,ἕλκετο,ἕλκω,v3siie---,22,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:10.15,ImpfDesc_unknown_unknown,ImpfDesc,unknown,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,χαίτας,χαίτη,n-p---fa-,15,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.15,AccObj,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,ὑψόθ̓,ὑψόθι,d--------,18,ADV,urn:cts:greekLit:tlg0012.tlg001:10.16,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,ἐόντι,εἰμί,v-sppamd-,19,ATR,urn:cts:greekLit:tlg0012.tlg001:10.16,ImpfDesc_unknown_unknown,ImpfDesc,unknown,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,19,Διί,Ζεύς,n-s---md-,15,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.16,DatVerb,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,20,",",",",u--------,22,AuxX,,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,21,μέγα,μέγας,a-s---na-,23,ADV,urn:cts:greekLit:tlg0012.tlg001:10.16,AccObj,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,22,δ̓,δέ,g--------,0,COORD,urn:cts:greekLit:tlg0012.tlg001:10.16,,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,23,ἔστενε,στένω,v3siia---,22,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:10.16,Impf_unknown_unknown,Impf,unknown,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,24,κυδάλιμον,κυδάλιμος,a-s---nn-,25,ATR,urn:cts:greekLit:tlg0012.tlg001:10.16,NomSubj,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,25,κῆρ,κῆρ,n-s---nn-,23,SBJ,urn:cts:greekLit:tlg0012.tlg001:10.16,NomSubj,,,
10.14-10.16,2277124,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,26,.,.,u--------,0,AuxK,,,,,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ἥδε,ὅδε,p-s---fn-,31,SBJ_AP,urn:cts:greekLit:tlg0012.tlg001:10.17,NomSubj,,,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,δέ,δέ,g--------,0,COORD,urn:cts:greekLit:tlg0012.tlg001:10.17,,,,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,οἱ,ἕ,p-s---md-,5,ATR,urn:cts:greekLit:tlg0012.tlg001:10.17,DatPos,,,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,κατὰ,κατά,r--------,6,AuxP,urn:cts:greekLit:tlg0012.tlg001:10.17,,,,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,θυμὸν,θυμός,n-s---ma-,4,ADV,urn:cts:greekLit:tlg0012.tlg001:10.17,AccObj,,,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,ἀρίστη,ἄριστος,a-s---fn-,8,ATR,urn:cts:greekLit:tlg0012.tlg001:10.17,NomPred,,,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,φαίνετο,φαίνω,v3siie---,2,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:10.17,ImpfDesc_unknown_unknown,ImpfDesc,unknown,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,βουλὴ,βουλή,n-s---fn-,7,PNOM,urn:cts:greekLit:tlg0012.tlg001:10.17,NomPred,,,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,Νέστοῤ,Νέστωρ,n-s---ma-,10,OBJ,urn:cts:greekLit:tlg0012.tlg001:10.18,AccObj,,,
10.17-10.20,2277125,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,ἔπι,ἐπί,r--------,13,AuxP,urn:cts:greekLit:tlg0012.tlg001:10.18,,,,
