,ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4,_error_center_index
4355,2274107.6,ἔρις,ἔριδι,n-s---fd-,DatMean.,2274107.8,ADV,Ref=1.8,DatMean,,,,4355
4364,2274108.1,Λητώ,Λητοῦς,n-s---fg-,GenPos. ,2274108.2,ATR_CO,Ref=1.9,GenPos,,,,4355
4366,2274108.3,Ζεύς,Διός,n-s---mg-,GenPos.  ,2274108.2,ATR_CO,Ref=1.9,GenPos,,,,4355
5043,2274140.5,Ζεύς,Διί,n-s---md-,DatExpr.,2274140.6,ATR,Ref=1.74,DatExpr,,,,5047
5046,2274140.8,μῆνις,μῆνιν,n-s---fa-,AccObj. ,2274140.7,OBJ,Ref=1.75,AccObj,,,,5047
5047,2274140.9,Ἀπόλλων,Ἀπόλλωνος,n-s---mg-,GenSubj.,2274140.14,ATR_AP,Ref=1.75,GenSubj,,,,5047
5074,2274142.11,ἔπος,ἔπεσιν,n-p---nd-,DatMean.,2274142.12,ADV_CO,Ref=1.77,DatMean,,,,5047
5076,2274142.12,χείρ,χερσὶν,n-p---fd-,DatMean.,2274142.12,ADV_CO,Ref=1.77,DatMean,,,,5047
3164,15,κῦμα,κῦμα,n-s---na-,AccObj,11.0,OBJ,5.366,AccObj,,,,3166
3165,16,Ποσειδάων,Ποσειδεών,n-s---mn-,NomSubj,11.0,SBJ,5.366,NomSubj,,,,3166
3166,17,ἐνοσίχθων,Ἐνοσίχθων,n-s---mn-,NomInd,16.0,ATR,5.366,NomInd,,,,3166
3181,3,ἄνεμος,ἄνεμος,n-s---mn-,NomSubj,7.0,SBJ,5.368,NomSubj,,,,3166
3183,5,ἠΐων,ἤια,n-p---ng-,GenMat,6.0,ATR,5.368,GenMat,,,,3166
338,58,Τροίης,Τροία,n-s---fg-,GenSep,59.0,OBJ,5.39,GenSep,,,,349
340,60,Ὀδυσσεύς,Ὀδυσσεύς,n-s---mn-,NomSubj,59.0,SBJ,5.39,NomSubj,,,,349
349,69,ληίδος,ληίς,n-s---fg-,GenPart (Prep5),68.0,OBJ,5.4,GenPart,,,,349
350,70,αἶσαν,αἶσα,n-s---fa-,AccObj,67.0,OBJ,5.4,AccObj,,,,349
355,4,μοῖρ',μοῖρα,n-s---fn-,NomPred,5.0,SBJ,5.41,NomPred,,,,349
4150,3,φυλίης,φυλία,n-s---fg-,GenMat,9.0,PNOM,5.477,GenMat,,,,4161
4154,7,ἐλαίης,ἐλαία,n-s---fg-,GenMat,10.0,PNOM,5.477,GenMat,,,,4161
4161,6,ἀνέμων,ἄνεμος,n-p---mg-,GenSubj,8.0,ATR,5.478,GenSubj,,,,4161
4163,8,μένος,μένος,n-s---nn-,NomSubj,7.0,SBJ,5.478,NomSubj,,,,4161
4170,15,ἠέλιος,ἥλιος,n-s---mn-,NomSubj,18.0,SBJ,5.479,NomSubj,,,,4161
3709,14,κῦμα,κῦμα,n-s---nn-,NomSubj,15.0,SBJ,5.429,NomSubj,,,,3734
3729,18,πόντῳ,πόντος,n-s---md-,DatLoc,17.0,OBJ,5.431,DatLoc,,,,3734
3734,4,πουλύποδος,πολύπους,n-s---mg-,GenAbs,8.0,SBJ,5.432,GenAbs,,,,3734
3735,5,θαλάμης,θαλάμη,n-s---fg-,GenSep,6.0,OBJ,5.432,GenSep,,,,3734
3738,8,κοτυληδονόφιν,κοτυληδών,n-p----d-,DatLoc (Prep5),7.0,ADV,5.433,DatLoc,,,,3734
8662,2274334.31,βία,βίην,n-s---fa-,AccResp.,2274334.34,ATR,Ref=1.404,AccResp,,,,8676
8664,2274334.33,πατήρ,πατρός,n-s---mg-,GenComp.,2274334.34,ATR,Ref=1.404,GenComp,,,,8676
8676,2274335.6,κῦδος,κύδεϊ,n-s---nd-,DatCaus.,2274335.7,OBJ,Ref=1.405,DatCaus,,,,8676
8687,2274336.5,θεός,θεοί,n-p---mn-,NomSubj.,2274336.7,SBJ,Ref=1.406,NomSubj,,,,8676
8704,2274337.8,γόνυ,γούνων,n-p---ng-,GenVerb. ,2274337.7,OBJ,Ref=1.407,GenVerb,,,,8676
5813,2274179.15,Ὀδυσσεύς,Ὀδυσσεύς,n-s---mn-,NomSubj.,2274179.16,SBJ_AP_CO,Ref=1.145,NomSubj,,,,5819
5816,2274179.18,Πηλείδης,Πηλεΐδη,n-s---mv-,Voc. ,2274179.7,ExD,Ref=1.146,Voc,,,,5819
5819,2274179.21,ἀνήρ,ἀνδρῶν,n-p---mg-,GenComp.,2274179.2,ATR,Ref=1.146|SpaceAfter=No,GenComp,,,,5819
5825,2274179.27,ἱερόν,ἱερά,n-p---na-,AccObj. ,2274179.28,OBJ,Ref=1.147,AccObj,,,,5819
5838,2274180.7,πούς,πόδας,n-p---ma-,AccResp.,2274180.8,ATR,Ref=1.148,AccResp,,,,5819
5306,2274152.24,ἑκατόμβη,ἑκατόμβην,n-s---fa-,AccObj. ,2274152.21,OBJ,Ref=1.99,AccObj,,,,5351
5344,2274155.8,Ἀγαμέμνων,Ἀγαμέμνων,n-s---mn-,NomSubj.,2274155.3,SBJ,Ref=1.102,NomSubj,,,,5351
5351,2274156.1,μένος,μένεος,n-s---ng-,GenMat. ,2274156.6,OBJ,Ref=1.103,GenMat,,,,5351
5354,2274156.4,φρήν,φρένες,n-p---fn-,NomSubj.,2274156.6,SBJ,Ref=1.103,NomSubj,,,,5351
5358,2274156.8,ὄσσε,ὄσσε,n-d---nn-,NomSubj.,2274156.13,SBJ,Ref=1.104,NomSubj,,,,5351
8547,2274330.9,Βρισεύς,Βρισῆος,n-s---mg-,GenPos. ,2274330.8,ATR,Ref=1.392,GenPos,,,,8564
8551,2274330.13,υἱός,υἷες,n-p---mn-,NomSubj.,2274330.12,SBJ,Ref=1.392,NomSubj,,,,8564
8564,2274331.7,παῖς,παιδός,n-s---mg-,GenVerb. ,2274331.6,OBJ,Ref=1.393,GenVerb,,,,8564
8572,2274332.2,Ὄλυμπος,Οὔλυμπον,n-s---ma-,AccDirec.,2274332.1,OBJ,Ref=1.394,AccDirec,,,,8564
8574,2274332.4,Ζεύς,Δία,n-s---ma-,AccObj. ,2274332.5,OBJ,Ref=1.394,AccObj,,,,8564
2453,9,κάρη,κάρα,n-s---na-,AccObj,7.0,OBJ,5.285,AccObj,,,,2470
2467,9,θεοὶ,θεός,n-p---mn-,NomSubj,8.0,SBJ,5.286,NomSubj,,,,2470
2470,12,Ὀδυσῆι,Ὀδυσσεύς,n-s---md-,DatAdvn (Prep5),11.0,OBJ,5.287,DatAdvn,,,,2470
2473,15,Αἰθιόπεσσιν,Αἰθίοψ,n-p---md-,DatLoc (Prep5),14.0,PNOM,5.287,DatLoc,,,,2470
2478,20,Φαιήκων,Φαίαξ,n-p---mg-,GenPos,21.0,ATR,5.288,GenPos,,,,2470
3166,17,ἐνοσίχθων,Ἐνοσίχθων,n-s---mn-,NomInd,16.0,ATR,5.366,NomInd,,,,3183
3181,3,ἄνεμος,ἄνεμος,n-s---mn-,NomSubj,7.0,SBJ,5.368,NomSubj,,,,3183
3183,5,ἠΐων,ἤια,n-p---ng-,GenMat,6.0,ATR,5.368,GenMat,,,,3183
3184,6,θημῶνα,θημών,n-s---ma-,AccObj,7.0,OBJ,5.368,AccObj,,,,3183
3198,3,δούρατα,δόρυ,n-p---na-,AccObj,5.0,OBJ,5.37,AccObj,,,,3183
3485,4,λιμένες,λιμήν,n-p---mn-,NomPred,12.0,SBJ_AP,5.404,NomPred,,,,3487
3486,5,νηῶν,ναῦς,n-p---fg-,GenObj,6.0,ATR,5.404,GenObj,,,,3487
3487,6,ὄχοι,ὄχος,n-p---mn-,NomPred,12.0,SBJ_AP,5.404,NomPred,,,,3487
3491,10,ἐπιωγαί,ἐπιωγαί,n-p---fn-,NomPred,12.0,SBJ,5.404,NomPred,,,,3487
3494,2,ἀκταὶ,ἀκτή,n-p---fn-,NomPred,8.0,SBJ_CO,5.405,NomPred,,,,3487
324,44,χρυσόν,χρυσός,n-s---ma-,AccObj,48.0,OBJ_CO,5.38,AccObj,,,,338
327,47,ἐσθῆτά,ἐσθής,n-s---fa-,AccObj,48.0,OBJ_CO,5.38,AccObj,,,,338
338,58,Τροίης,Τροία,n-s---fg-,GenSep,59.0,OBJ,5.39,GenSep,,,,338
340,60,Ὀδυσσεύς,Ὀδυσσεύς,n-s---mn-,NomSubj,59.0,SBJ,5.39,NomSubj,,,,338
349,69,ληίδος,ληίς,n-s---fg-,GenPart (Prep5),68.0,OBJ,5.4,GenPart,,,,338
1429,18,θεοί,θεός,n-p---mn-,NomSubj,20.0,SBJ,5.169,NomSubj,,,,1453
1434,23,οὐρανὸν,οὐρανός,n-s---ma-,AccObj,25.0,OBJ,5.169,AccObj,,,,1453
1453,6,πολύτλας,πολύτλας,n-s---mn-,NomSubj,8.0,ATR,5.171,NomSubj,,,,1453
1455,8,Ὀδυσσεύς,Ὀδυσσεύς,n-s---mn-,NomSubj,4.0,SBJ,5.171,NomSubj,,,,1453
1460,13,ἔπεα,ἔπος,n-p---na-,AccObj,15.0,OBJ,5.172,AccObj,,,,1453
8967,2274349.9,ἱστίον,ἱστία,n-p---na-,AccObj. ,2274349.11,OBJ,Ref=1.433,AccObj,,,,8979
8977,2274349.19,ἱστός,ἱστόν,n-s---ma-,AccObj. ,2274349.22,OBJ,Ref=1.434,AccObj,,,,8979
8979,2274349.21,ἱστοδόκη,ἱστοδόκῃ,n-s---fd-,DatLoc.,2274349.22,OBJ,Ref=1.434,DatLoc,,,,8979
8981,2274349.23,πρότονοι,προτόνοισιν,n-p---md-,DatInstr.,2274349.24,ADV,Ref=1.434,DatInstr,,,,8979
8990,2274349.32,ἐρετμόν,ἐρετμοῖς,n-p---nd-,DatInstr.,2274349.31,ADV,Ref=1.435|SpaceAfter=No,DatInstr,,,,8979
4249,6,σποδιῇ,σποδιά,n-s---fd-,DatVerb,7.0,ADV,5.488,DatVerb,,,,4254
4252,9,ἀγροῦ,ἀγρός,n-s---mg-,GenPart,11.0,ATR,5.489,GenPart,,,,4254
4254,11,ἐσχατιῆς,ἐσχατιά,n-s---fg-,GenLoc (Prep3),10.0,ADV,5.489,GenLoc,,,,4254
4259,16,γείτονες,γείτων,n-p---mn-,NomSubj,35.0,SBJ,5.489,NomSubj,,,,4254
4262,19,σπέρμα,σπέρμα,n-s---na-,AccObj,21.0,OBJ,5.49,AccObj,,,,4254
4263,20,πυρὸς,πῦρ,n-s---ng-,GenPart,19.0,ATR,5.49,GenPart,,,,4274
4273,30,Ὀδυσεὺς,Ὀδυσσεύς,n-s---mn-,NomSubj,32.0,SBJ,5.491,NomSubj,,,,4274
4274,31,φύλλοισι,φύλλον,n-p---nd-,DatInstr,32.0,ADV,5.491,DatInstr,,,,4274
4280,4,Ἀθήνη,Ἀθήνη,n-s---fn-,NomSubj,8.0,SBJ,5.491,NomSubj,,,,4274
4281,5,ὕπνον,ὕπνος,n-s---ma-,AccObj,8.0,OBJ,5.492,AccObj,,,,4274
9620,2274381.6,παῖς,παιδός,n-s---mg-,GenPos. ,2274381.5,ATR,Ref=1.496,GenPos,,,,9628
9627,2274381.13,κῦμα,κῦμα,n-s---na-,AccObj. ,2274381.12,OBJ,Ref=1.496,AccObj,,,,9628
9628,2274381.14,θάλασσα,θαλάσσης,n-s---fg-,GenExpl.,2274381.13,ATR,Ref=1.496|SpaceAfter=No,GenExpl,,,,9628
9638,2274382.5,οὐρανός,οὐρανόν,n-s---ma-,AccObj. ,2274382.7,OBJ_CO,Ref=1.497,AccObj,,,,9628
9639,2274382.6,Ὄλυμπος,Οὔλυμπόν,n-s---ma-,AccObj. ,2274382.7,OBJ_CO,Ref=1.497,AccObj,,,,9628
53,2,Ζεῦ,Ζεύς,n-s---mv-,Voc,4.0,ExD_CO,5.7,Voc,,,,57
54,3,πάτερ,πατήρ,n-s---mv-,Voc,2.0,ATR,5.7,Voc,,,,57
57,6,μάκαρες,μάκαρ,n-p---mv-,NomSubj,7.0,ATR,5.7,NomSubj,,,,57
58,7,θεοὶ,θεός,n-p---mv-,NomSubj,4.0,ExD_CO,5.7,NomSubj,,,,57
71,20,βασιλεύς,βασιλεύς,n-s---mn-,NomSubj,33.0,SBJ,5.9,NomSubj,,,,57
3631,35,κῆτος,κῆτος,n-s---na-,AccObj,36.0,OBJ,5.421,AccObj,,,,3636
3634,38,δαίμων,δαίμων,n-s---mn-,NomSubj,36.0,SBJ,5.421,NomSubj,,,,3636
3636,40,ἁλός,ἅλς,n-s---mg-,GenSep (Prep3),39.0,OBJ,5.422,GenSep,,,,3636
3643,47,Ἀμφιτρίτη,Ἀμφιτρίτη,n-s---fn-,NomSubj,45.0,SBJ,5.422,NomSubj,,,,3636
3652,8,ἐννοσίγαιος,Ἐννοσίγαιος,n-s---mn-,NomSubj,6.0,SBJ,5.423,NomSubj,,,,3636
3860,7,θεοῖσιν,θεός,n-p---md-,DatVerb,4.0,OBJ,5.447,DatVerb,,,,3873
3861,8,ἀνδρῶν,ἀνήρ,n-p---mg-,GenPart,9.0,ATR,5.448,GenPart,,,,3873
3873,20,ῥόον,ῥόος,n-s---ma-,AccDirec,22.0,OBJ_CO,5.449,AccDirec,,,,3873
3876,23,γούναθ',γόνυ,n-p---na-,AccDirec,22.0,OBJ_CO,5.449,AccDirec,,,,3873
3884,4,ἄναξ,ἄναξ,n-s---mv-,Voc,2.0,ExD,5.45,Voc,,,,3873
4021,12,ἄρουραν,ἄρουρα,n-s---fa-,AccObj,9.0,OBJ,5.463,AccObj,,,,4052
4050,5,ποταμῷ,ποταμός,n-s---md-,DatLoc (Prep3),4.0,ADV,5.466,DatLoc,,,,4052
4052,7,νύκτα,νύξ,n-s---fa-,AccTime,8.0,OBJ,5.466,AccTime,,,,4052
4058,13,στίβη,στίβη,n-s---fn-,NomSubj,16.0,SBJ_CO,5.467,NomSubj,,,,4052
4063,18,ἐέρση,ἔρσα,n-s---fn-,NomSubj,16.0,SBJ_CO,5.467,NomSubj,,,,4052
4312,2274106.18,Ἅιδης,Ἄϊδι,n-s---md-,AccObj. ,2274106.19,OBJ,Ref=1.3,AccObj,,,,4319
4314,2274106.2,ἥρως,ἡρώων,n-p---mg-,Aor. | Ind. | Act.,,ATR,Ref=1.3,Aor,Ind,Act,,4319
4319,2274106.24,ἑλώριον,ἑλώρια,n-p---na-,AccDoubl. ,2274106.25,OCOMP,Ref=1.4,AccDoubl,,,,4319
4321,2274106.26,κύων,κύνεσσιν,n-p---md-,DatVerb.,2274106.28,OBJ_CO,Ref=1.4,DatVerb,,,,4319
4322,2274106.27,οἰωνός,οἰωνοῖσί,n-p---md-,DatVerb.,2274106.28,OBJ_CO,Ref=1.5,DatVerb,,,,4319
3203,2,Ὀδυσσεὺς,Ὀδυσσεύς,n-s---mn-,NomSubj,6.0,SBJ,5.37,NomSubj,,,,3206
3205,4,ἑνὶ,εἷς,n-s---nd-,DatLoc (Prep5),5.0,ATR,5.371,DatLoc,,,,3206
3206,5,δούρατι,δόρυ,n-s---nd-,DatLoc (Prep5),3.0,OBJ,5.371,DatLoc,,,,3206
3209,8,κέληθ',κέλης,n-s---ma-,AccObj,10.0,ATR,5.371,AccObj,,,,3206
3211,10,ἵππον,ἵππος,n-s---ma-,AccObj,23.0,OBJ,5.371,AccObj,,,,3206
2311,4,ὄψα,ὄψος,n-p---na-,AccObj,5.0,OBJ,5.267,AccObj,,,,2326
2316,1,οὖρον,οὖρος,n-s---ma-,AccObj,3.0,OBJ,5.268,AccObj,,,,2326
2326,3,οὔρῳ,οὖρος,n-s---md-,DatVerb,4.0,ADV,5.269,DatVerb,,,,2326
2328,5,ἱστία,ἱστίον,n-p---na-,AccObj,4.0,OBJ,5.269,AccObj,,,,2326
2330,7,Ὀδυσσεύς,Ὀδυσσεύς,n-s---mn-,NomSubj,4.0,SBJ,5.269,NomSubj,,,,2326
2353,22,Ἄρκτον,ἄρκτος,n-s---fa-,AccObj,23.0,OBJ_CO,5.273,AccObj,,,,2359
2358,27,ἄμαξαν,ἄμαξα,n-s---fa-,AccObj,29.0,OCOMP,5.273,AccObj,,,,2359
2359,28,ἐπίκλησιν,ἐπίκλησις,n-s---fa-,AccAdv,29.0,OBJ,5.273,AccAdv,,,,2359
2368,37,Ὠρίωνα,Ὠρίων,n-s---ma-,AccObj,38.0,OBJ,5.274,AccObj,,,,2359
2375,44,λοετρῶν,λουτρόν,n-p---ng-,GenVerb.2,42.0,ATR,5.275,GenVerb,,,,2359
529,5,ὀπὶ,ὄψ,n-s---fd-,DatInstr,4.0,ADV,5.61,DatInstr,,,,534
531,7,ἱστὸν,ἱστός,n-s---ma-,AccObj,8.0,OBJ,5.62,AccObj,,,,534
534,10,κερκίδ',κερκίς,n-s---fd-,DatInstr,11.0,ADV,5.62,DatInstr,,,,534
537,1,ὕλη,ὕλη,n-s---fn-,NomSubj,7.0,SBJ_AP,5.63,NomSubj,,,,534
539,3,σπέος,σπέος,n-s---na-,AccSpac (Prep5),4.0,ADV,5.63,AccSpac,,,,534
7388,2274266.6,γέρων,γέρον,n-s---mv-,Voc.,2274266.9,ExD,Ref=1.286,Voc,,,,7432
7399,2274267.3,ἀνήρ,ἀνήρ,n-s---mn-,NomSubj.,2274267.9,SBJ,Ref=1.287,NomSubj,,,,7432
7432,2274268.4,αἰχμητής,αἰχμητήν,n-s---ma-,AccDoubl.,2274268.5,OCOMP,Ref=1.290,AccDoubl,,,,7432
7434,2274268.6,θεός,θεοί,n-p---mn-,NomSubj.,2274268.5,SBJ,Ref=1.290,NomSubj,,,,7432
7440,2274268.12,ὄνειδος,ὀνείδεα,n-p---na-,AccObj.  ,2274268.13,OBJ,Ref=1.291,AccObj,,,,7432
9766,2274390.6,κράτος,κράτος,n-s---na-,AccObj. ,2274390.5,OBJ,Ref=1.509,AccObj,,,,9776
9770,2274390.1,υἱός,υἱόν,n-s---ma-,AccObj. ,2274390.12,OBJ,Ref=1.510,AccObj,,,,9776
9776,2274390.16,τιμή,τιμῇ,n-s---fd-,DatMean.,2274390.13,ADV,Ref=1.510|SpaceAfter=No,DatMean,,,,9776
9795,2274392.7,Ζεύς,Ζεύς,n-s---mn-,NomSubj.,2274392.5,SBJ,Ref=1.511|SpaceAfter=No,NomSubj,,,,9776
9806,2274393.1,Θέτις,Θέτις,n-s---fn-,NomSubj.,2274393.1,SBJ,Ref=1.512,NomSubj,,,,9776
148,17,θαλάσσης,θάλασσα,n-s---fg-,GenPart,16.0,ATR,5.17,GenPart,,,,163
152,3,παῖδ',παῖς,n-s---ma-,AccObj,5.0,OBJ,5.18,AccObj,,,,163
163,5,πατρὸς,πατήρ,n-s---mg-,GenObj,6.0,ATR,5.19,GenObj,,,,163
178,5,νεφεληγερέτα,νεφεληγερέτα,n-s---mn-,NomSubj,6.0,ATR,5.21,NomSubj,,,,163
179,6,Ζεύς,Ζεύς,n-s---mn-,NomSubj,4.0,SBJ,5.21,NomSubj,,,,163
1505,12,Διὸς,Ζεύς,n-s---mg-,GenSep,13.0,ATR,5.176,GenSep,,,,1514
1506,13,οὔρῳ,οὖρος,n-s---md-,DatVerb,11.0,OBJ,5.176,DatVerb,,,,1514
1514,7,σχεδίης,σχεδία,n-s---fg-,GenLoc,8.0,OBJ,5.177,GenLoc,,,,1514
1523,16,θεά,θεά,n-s---fv-,Voc,8.0,ExD,5.178,Voc,,,,1514
1526,19,ὅρκον,ὅρκος,n-s---ma-,AccObj,31.0,OBJ_AP,5.178,AccObj,,,,1514
2739,16,ἐπίκριον,ἐπίκριον,n-s---nn-,NomSubj,15.0,SBJ_CO,5.318,NomSubj,,,,2749
2741,18,πόντῳ,πόντος,n-s---md-,DatLoc,17.0,OBJ,5.318,DatLoc,,,,2749
2749,7,χρόνον,χρόνος,n-s---ma-,AccTime,5.0,ADV,5.319,AccTime,,,,2749
2759,17,κύματος,κῦμα,n-s---ng-,GenPart,18.0,ATR,5.32,GenPart,,,,2749
2760,18,ὁρμῆς,ὁρμή,n-s---fg-,GenSep (Prep3),16.0,OBJ,5.32,GenSep,,,,2749
9275,2274364.11,οἶνος,οἶνον,n-s---ma-,AccObj. ,2274364.12,OBJ,Ref=1.462,AccObj,,,,9288
9287,2274365.6,πεμπώβολον,πεμπώβολα,n-p---na-,AccObj. ,2274365.5,OBJ,Ref=1.463,AccObj,,,,9288
9288,2274365.6,χείρ,χερσίν,n-p---fd-,DatLoc.,2274365.5,OBJ,Ref=1.463|SpaceAfter=No,DatLoc,,,,9288
9297,2274366.4,μῆρα,μῆρε,n-d---nn-,NomSubj.,2274366.5,SBJ,Ref=1.464,NomSubj,,,,9288
9300,2274366.7,σπλάγχνον,σπλάγχνα,n-p---na-,AccObj. ,2274366.8,OBJ,Ref=1.464,AccObj,,,,9288
4242,18,φύλλων,φύλλον,n-p---ng-,GenMat,15.0,ATR,5.487,GenMat,,,,4249
4248,5,δαλὸν,δαλός,n-s---ma-,AccObj,7.0,OBJ,5.488,AccObj,,,,4249
4249,6,σποδιῇ,σποδιά,n-s---fd-,DatVerb,7.0,ADV,5.488,DatVerb,,,,4249
4252,9,ἀγροῦ,ἀγρός,n-s---mg-,GenPart,11.0,ATR,5.489,GenPart,,,,4249
4254,11,ἐσχατιῆς,ἐσχατιά,n-s---fg-,GenLoc (Prep3),10.0,ADV,5.489,GenLoc,,,,4249
